Date,Forecast Price
2024-01-01,190.11655
2024-01-02,189.62888
2024-01-03,189.14482
2024-01-04,188.66966
2024-01-05,188.21494
2024-01-08,187.78702
2024-01-09,187.38766
2024-01-10,187.01537
2024-01-11,186.66684
2024-01-12,186.33832
2024-01-15,186.02612
2024-01-16,185.72754
2024-01-17,185.44049
2024-01-18,185.16385
2024-01-19,184.89696
2024-01-22,184.63951
2024-01-23,184.39151
2024-01-24,184.15279
2024-01-25,183.92319
2024-01-26,183.70244
2024-01-29,183.49011
2024-01-30,183.28578
2024-01-31,183.08897
2024-02-01,182.89917
2024-02-02,182.71591
2024-02-05,182.53877
2024-02-06,182.36743
2024-02-07,182.20158
2024-02-08,182.04099
2024-02-09,181.88538
